,0
88,"The U.S. and China have been locked in a trade war for over a year, with each side imposing tariffs on the other's goods. The latest round of tariffs went into effect on Sunday, and the stock market reacted negatively."
89,"Apple plans to bring its feature-length films to theaters. The company has been working on a number of films, including a documentary about the life of rapper Dr. Dre."
90,"With tensions running high between the United States and Iran, world leaders are convening in New York for the United Nations General Assembly. Among the topics of discussion will be nuclear disarmament."
91,Crystal Lachance is a single mother who walked to work at KFC every day for a year. She was surprised with a new car.
92,Hawaii Rep. Tulsi Gabbard has announced that she will support the impeachment inquiry into President Donald Trump. This makes her the first Democrat to do so who is also running for president in 2020.
93,"One of the biggest stories to come out of Wales in recent memory is the story of the Welshman who woke up from a coma speaking fluent Mandarin. The man, who wishes to remain anonymous, had been in a coma for six years after suffering a brain injury."
94,The Bank of Ireland has extended its partnership with the UK Post Office. The partnership will allow the Bank of Ireland to continue to provide banking services to its customers through the Post Office network.
95,"President Donald Trump's administration is considering more than doubling the proposed tariffs on $200 billion of Chinese imports, sources told Reuters on Wednesday, as talks to resolve the trade dispute between the world's two largest economies stall.

The move would escalate Trump's trade war with China."
96,"Investors sold stocks on Tuesday after weak Chinese data reignited concerns about a global economic slowdown. The Dow fell more than 200 points, or 0.8%, while the S&P 500 and Nasdaq Composite each declined 0.6%."
97,"The Syrian government and its allies have been accused of using chemical weapons in the country's civil war, which has killed more than 400,000 people. The United Nations has said that it is investigating the allegations."
98,"The Jacksonville Jaguars' cornerback, Jalen Ramsey, is listed as questionable for Sunday's game against the Houston Texans due to the birth of his child. Ramsey's daughter, Breelyn, was born early Thursday morning."
99,"Wall Street is eagerly awaiting the public debut of Endeavor, the entertainment company founded by super agent Ari Emanuel. The IPO is expected to value the company at $8 billion."
100,"Companies making their debut on U.S. stock exchanges this year have outperformed the broader market, a trend that is likely to continue as more firms go public, analysts said.

So far this year, companies that have completed their IPOs are up an average of nearly 40 percent, while the S"
101,"Meryl Streep stars in ""The Laundromat"" as a woman who seeks out a lawyer after her insurance company denies her claim following the death of her husband. The film is a dark comedy about the Panama Papers scandal."
102,The Zanu-PF-led government has been accused of abuse against protesters by the UN envoy to Zimbabwe. The UN has called on the government to stop the abuse and hold accountable those responsible.
103,ASOS is selling fake AirPods for $4. The fake AirPods are a symbol of millennial style.
104,"The ""chicken noodle soup challenge"" is a new social media craze sweeping the internet. The challenge involves people posting videos of themselves eating chicken noodle soup with chopsticks in an attempt to be funny."
105,Whistleblower Alleges that Trump Made Promises to a Foreign Leader. The complaint alleges that Trump used his office to pressure a foreign leader to investigate a political rival.
106,"This is an article about Sam's Club's new medical services discount that focuses on telehealth. The discount is available to Sam's Club members and includes access to online doctor visits, prescriptions, and more."
107,"The Irish Times has released the teams for the upcoming Pro14 games. Leinster, Munster, and Connacht will all be playing."
108,A group of wealthy donors is bankrolling a super PAC to support Joe Biden's presidential campaign. The super PAC is expected to spend millions of dollars on advertising and other support for Biden.
109,"Police also found several knives, a machete, and a BB gun in the car.

Tammy Steffen, a fitness influencer with over 100,000 followers on Instagram, was arrested and charged with filing a false police report after she staged a fake kidnapping in an attempt to gain sympathy and"
110,"The latest episode of the BBC's ""The Food Chain"" podcast features an interview with chef and restaurateur Heston Blumenthal. Blumenthal discusses his approach to food and cooking, and how he has been able to create some of the world's most iconic dishes."
111,"The landmark Amazon series ""Transparent"" ended its run with a two-hour musical finale on Thursday. The series, about a Los Angeles family with a transgender parent, has been praised for its groundbreaking portrayal of transgender issues."
112,Rent the Runway is a subscription service that allows members to rent designer clothing and accessories. The company has recently come under fire for poor customer service and has halted membership as a result.
113,"Around the world, single adults are choosing to abstain from sex for a variety of reasons. In Japan, the number of people who identify as ""herbivores"" - men who shun sex and relationships - is on the rise."
114,The European Central Bank (ECB) is the central bank of the European Union (EU) and is responsible for the monetary policy of the eurozone. The ECB has a mandate to maintain price stability in the eurozone and to promote economic growth.
115,"People in the United States are more likely to develop diabetes if they live in certain states, according to a new study. The study found that people in Oklahoma, Kentucky, Louisiana, and Arkansas were more likely to develop diabetes than people in other states."
116,"The alarm was first sounded in early September, when an intelligence official filed a formal complaint that President Trump had made an inappropriate promise to a foreign leader. The complaint set off a battle between the intelligence community and the White House that has consumed Washington for nearly three weeks."
117,The House is set to vote on a resolution that would force the Justice Department to turn over the full Mueller report to Congress. The vote comes after Attorney General William Barr failed to provide the report to lawmakers.
118,"A skydiver died after crashing into the trailer of a big rig on a California highway. The skydiver, who was not wearing a parachute, was pronounced dead at the scene."
119,"Amid escalating tensions between the U.S. and Iran, European leaders are pushing for a new nuclear deal that would include all three countries. The proposed deal would build on the 2015 agreement between Iran and six world powers, which the U.S. withdrew from in 2018."
120,"How economic inequality has exacerbated Hong Kong’s political divide, with many feeling that the government is more responsive to the interests of the business elite. The protests have been an expression of frustration over the city’s lack of affordable housing, good jobs and a level playing field."
121,"Bloomberg climate reporter Christopher Flavelle discusses how government aid for renewable energy has declined in recent years, despite President Trump's promises to revive the coal industry."
122,The Nintendo Switch Lite is a great handheld device that offers a more affordable way to play Switch games. It's a great choice for gamers who primarily play handheld games.
123,"Nintendo Switch is a home video game console developed by Nintendo, released on March 3, 2017. As a hybrid console, it can be used as both a stationary and portable device."
124,"Bernie Sanders responds to the impeachment inquiry against President Trump, saying that ""we have a constitutional responsibility to investigate"" and that the American people deserve to know the truth."
125,"Brazil this week authorized the planting of a genetically modified corn variety for the first time in the country, a move that is likely to anger environmentalists. The corn, developed by U.S.-based Monsanto Co, is resistant to herbicide glyphosate."
126,The Alternative is a Dublin Theatre that is a sly thought experiment which unpicks threads of history. It is a story about a woman who is trying to find her place in the world.
127,"Get breaking news on Pakistan Prime Minister Imran Khan's accusation of Indian counterpart Narendra Modi's cruelty and stupidity over the Kashmir issue. Khan said Modi is ""a small man"" with ""a cruel streak."""
128,"At least 400 people have been rescued from a building in Nigeria where they were being tortured. The building, which is in the city of Lagos, was being used as a detention center for people who had been accused of being involved in internet fraud."
129,"In the article, House Democrats are discussing the impeachment process and how to move forward. They are also considering whether or not to subpoena White House officials."
130,(Reuters Health) - The U.S. military is spending $3.6 million on a study to see if a Mediterranean diet can help soldiers lose weight and improve their health.
131,"The Democratic-led House of Representatives on Tuesday overwhelmingly defeated a Republican measure that would have disapproved of the chamber's impeachment inquiry into President Donald Trump. The vote was 332-95, with all but two Democrats voting against the measure and all but one Republican voting for it."
132,"The article discusses how going public can have a negative effect on startup CEOs. Adam Neumann, the CEO of WeWork, is used as an example of how a once successful CEO can be brought down by the pressure of going public."
133,Attorney General William Barr has said that he believes President Donald Trump's personal lawyer Rudy Giuliani and other individuals could be called as witnesses in the impeachment inquiry against Trump. Barr made the comments during an interview with Fox News on Friday.
134,"There are more virgins in Japan than ever before, and the government is worried. The article discusses the possible reasons for the ""sex recession"" and the implications it has for the future."
135,Washington is the latest state to ban flavored vaping products in an effort to reduce youth vaping rates. The ban will go into effect in 30 days and will last for at least six months.
136,"A senior Iranian official has said the UK's seizure of an Iranian oil tanker was ""illegal"" and ""hostile"". The UK said it seized the tanker because it was breaching EU sanctions by taking oil to Syria."
137,"A former Dallas police officer who fatally shot an unarmed black man in his own apartment was sentenced to 10 years in prison on Wednesday, a punishment that the victim's family said was too light. Amber Guyger, 31, was convicted of murder last week in the September 2018 shooting of Botham Jean, 26,"
138,"Nintendo The mobile version of the popular console game, Mario Kart, has been released. The game has been downloaded over 10 million times in it's first week."
139,"The film’s first trailer introduces the Crawley family and their staff as they prepare for a royal visit from the king and queen. The film is set to be released on September 20, 2019."
140,"The ex-cabinet minister, who was in charge of no-deal Brexit planning, has been critical of the government's handling of the UK's departure from the EU. He says the government has been ""incompetent"" and ""irresponsible""."
141,"Tunisia's moderate Islamist party Ennahda looks set to win the most seats in Sunday's parliamentary election, according to two exit polls, in a victory that would cement the North African country's transition to democracy.

If the results are confirmed, it would mark the first time an Islamist party"
142,"Demonstrators take to the streets in Egypt, calling for the resignation of President Abdel Fattah el-Sisi. The protests come after years of repression under el-Sisi's rule."
143,"Get breaking news and updates on a University of Delaware baseball player who has been convicted of raping a woman he met at a party. The player, Clay Conaway, was found guilty of first-degree rape, second-degree rape, third-degree rape, and unlawful sexual contact."
144,"Samsung's new Galaxy Fold was supposed to go on sale in the US on Friday, but the company has delayed the release. The cause of the delay is unknown, but it comes after reports of problems with the phone's display."
145,"Paige Hart, 25, from Nottingham, is calling for earlier smear tests after she was diagnosed with cervical cancer. She is now in remission, but wants other women to be aware of the importance of early detection."
146,"Sex offences reported to the gardaí have reached a record high, with an increase of 10% in the last year. This is the highest number of sexual crimes reported since the Central Statistics Office began recording data in 2006."
147,"Former Thomas Cook chief executive Harriet Green is to be paid a £1.4m bonus, despite the company's collapse.

The bonus, which is subject to shareholder approval, was agreed when Ms Green was hired in 2012."
148,"Two United flights were diverted after a passenger locked themselves in the lavatory. The flights were en route to Denver and Washington, D.C."
149,"A Ukrainian state investigative agency said on Friday it was looking into possible criminal offences at gas producer Burisma Holdings dating back to before 2014, when U.S. presidential candidate Joe Biden's son joined the board.

The National Anti-Corruption Bureau of Ukraine (NABU) said in a statement it"
150,Manchester United’s game against Liverpool has been postponed due to bad weather. United’s game against Fulham has also been postponed.
151,Get breaking news on the investigation of vaping-related illnesses in the U.S. that is focusing on THC.
152,"The American Civil Liberties Union has filed a lawsuit against the Department of Education, claiming that the department has unlawfully threatened to withhold funding from Duke University and the University of North Carolina."
153,A 12-year-old black girl was allegedly pinned down by three white sixth grade boys and had her dreadlocks cut off with scissors at a charter school in Maryland. The incident was caught on video.
154,"A new survey finds that October is the best month to apply for a job. The survey, which was conducted by the job site Indeed, found that job postings peak in October and that hiring managers are more likely to be receptive to applications during that month."
155,"50 years ago, the Beatles recorded their final album, Abbey Road. To celebrate the anniversary, a new remix of the album has been released, offering a rare behind-the-scenes glimpse into the making of the record."
156,"Three philanthropists have pledged a combined $1 billion to fight climate change, with half of the money going to groups fighting for environmental justice. The money will be used to fund climate protests and legal action against oil and gas companies."
157,"Christian Coleman is an American sprinter who specializes in the 100-meter dash. He is the current world indoor record holder in the 60-meter dash, with a time of 6.34 seconds."
158,North Carolina's state legislature has been ordered to redraw its voting districts by a panel of federal judges after they ruled that the state's current districts were illegally drawn to favor Republicans. The judges gave the legislature until September 18 to come up with a new map.
159,"rasika108/Shutterstock Israel's central bus station is a beehive of activity, with buses coming and going to all parts of the country. The station is also a shopping center, with stores and restaurants catering to all tastes."
160,Two high-end businesses in Dublin were raided by police in connection with an ongoing investigation into an international money laundering operation.
161,Turkey's draft legislation would allow the military to remain in Syria for another year and would formalize their role in protecting Turkish interests in the region.
162,"Shortly before Hillary Clinton's commencement speech at Hunter College, she sat down for an interview with CBS News' Jane Pauley. When asked about the impeachment inquiry into President Trump, Clinton said that Trump's actions fall under ""high crimes and misdemeanors."""
163,"Scandal-tainted bank Wells Fargo has named Charlie Scharf as its new CEO. Scharf, who most recently served as CEO of Bank of New York Mellon, will take over from Tim Sloan, who resigned in March."
164,A whistleblower has come forward with a complaint about the White House's handling of the Trump-Ukraine scandal. The complaint alleges that the White House has been engaged in a cover-up.
165,"It's day two of Prince Harry's tour of Angola, and he's paying tribute to his late mother Princess Diana by walking across a minefield. He's also meeting with landmine victims and helping to raise awareness of the ongoing issue."
166,"The shooting occurred on Friday at the Portland International Airport. The gunman, who has not been identified, opened fire in the baggage claim area, killing one person and wounding another."
167,Economists once thought that jobs lost to foreign competition would eventually be replaced by new jobs in different industries. But many of the jobs lost in the United States have not been replaced.
168,"Top officials from the National Rifle Association are scheduled to meet with Russian officials during the organization's annual convention in April, according to an NRA document obtained by CNN.

The document, which was provided to CNN by a person close to the NRA, indicates that then-NRA President David Keene and other"
169,Mozambique is a country located in southeastern Africa. The article discusses the country's potential for becoming a major player in the global energy market.
170,"Both League One and League Two clubs have voted to end the 2019-20 season immediately. This follows a meeting of the English Football League's (EFL) board, where the decision was made unanimously."
171,"#CancelNYT Trends

Americans are slamming the New York Times for outing the Trump whistleblower, with the hashtag #CancelNYT trending on Twitter."
172,"Get breaking news alerts and special reports. The news and stories that matter, delivered weekday mornings.

Chinese Foreign Minister Wang Yi said that unilateralism and protectionism are posing major threats to the world."
173,Bank has announced that it may accelerate job cuts after putting a hiring freeze in place. The bank has been struggling in recent years.
174,The biggest takeaways from the debate were that the candidates want to break up big tech companies and that they want to provide more support for unions.
175,"Roku Most recently added Spotify to its lineup of streaming services, which already includes Netflix, Hulu, Amazon Prime Video, and more. This move gives Roku users even more content to choose from when streaming."
176,"New programme to evacuate refugees from Libya begins. The first group of refugees, made up of mostly women and children, have been evacuated to Rwanda."
177,"Sinuous smoke from the SpaceX Falcon 9 rocket's 27 engines curls around the spacecraft as it launches from Kennedy Space Center in Florida. The rocket is carrying a Crew Dragon capsule with NASA astronauts Robert Behnken and Douglas Hurley inside, bound for the International Space Station."
178,"Group of former national security officials say Trump's call with Ukraine was ""an unconscionable abuse of power."" They say Trump's actions ""endanger our national security and undermine the rule of law."""
179,"U.S. energy firms this week increased the number of oil rigs operating for the first time in three weeks, data showed on Friday, with drillers boosted by crude prices near $50 per barrel.
The oil rig count, an early indicator of future output, rose by four to 703 in the"
180,"Hedge fund D.E. Shaw & Co LP has amassed a stake of more than $1 billion in Emerson Electric Co and is pushing for changes at the U.S. industrial conglomerate, according to people familiar with the matter.

D.E. Shaw has been building its position in Emerson over"
181,"The Senate has passed a resolution to end Trump's emergency declaration to build a wall. The vote was 59-41, with 12 Republicans voting against the president."
182,Tom Holland is the current Spider-Man in the Marvel Cinematic Universe (MCU). He will continue to play the role of Spider-Man in the MCU after Sony and Marvel came to a new agreement.
183,"When the Rugby World Cup comes to Japan this year, fans will be able to enjoy a Japanese-inspired breakfast or brunch at any of the tournament's 48 matches. The menu will include items such as sushi, sashimi, tempura, and miso soup."
184,The US House of Representatives has voted to end Donald Trump's national emergency declaration at the US-Mexico border. The measure now goes to the Senate.
185,"Police gave the all-clear after investigating a suspicious package at Sen. Bernie Sanders' office in Washington, D.C. The package was discovered around 9 a.m. and the building was evacuated as a precaution."
186,"Maker of the iPhone plans to bring feature length films to theaters. The films would be made by Apple's new streaming service, Apple TV+."
187,"Health officials are investigating a possible link between vaping and a severe lung illness. The illness, which has caused at least six deaths, has affected people who have vaped both nicotine and THC."
188,"As part of a new series, ""CBSN: On Assignment,"" CBS News correspondents travel to Mexico to investigate the rise of the new most wanted drug lord, ""El Mencho."" They speak with locals who live in fear of the cartel and track the movements of the cartel in an attempt to understand their"
189,"A former mayor of a small town in Greenland has been sentenced to two and a half years in prison for sexually abusing a minor. The mayor, who is in his 60s, was convicted of sexually abusing a 16-year-old girl in 2013."
190,"Teenage activist Greta Thunberg has become the face of a global climate strike movement, and her no-nonsense message has made her a target for some of the world's most powerful men."
191,"More than half of Europe's native trees are at risk of extinction, according to a new report. The report, published in the journal Science of the Total Environment, found that 56% of Europe's tree species are at risk of extinction."
192,"If you want to connect your PC to your TV wirelessly, Google has a handy dandy guide to help you out. All you need is a Chromecast and an HDMI port on your TV."
193,"2001 As technology advances, so does the potential for misuse. This article discusses three technologies that have the potential to be misused: artificial intelligence, spyware, and facial recognition."
194,"The Department of Foreign Affairs is providing consular assistance to the family of a man who drowned while on a walking trip in Spain. The man, in his 30s, was from Cork."
195,"Train #2606 was delayed for over three hours on Thursday evening, much to the dismay of the passengers on board. The train was eventually canceled, leaving the passengers to find their own way home."
196,"Everlast, the boxing equipment company, has come under fire for a recent social media post. The post, which has since been deleted, featured a transgender boxer with the caption ""Be a fighter."""
197,"Some of the words that have been used the most in relation to the impeachment inquiry of President Trump are ""bribery,"" ""extortion"" and ""quid pro quo."""
198,Latest positive retail figures show that car and bar sales have lifted monthly numbers. This is good news for the Irish economy as a whole.
